area,location,price
 200 m,"Quận Cầu Giấy, Hà Nội", 161 triệu / tháng
 50 m,"Quận Hai Bà Trưng, Hà Nội", 13 triệu / tháng
 35 m,"Quận Hai Bà Trưng, Hà Nội", 25 triệu / tháng
 30 m,"Quận Hai Bà Trưng, Hà Nội", 18 triệu / tháng
 70 m,"Quận Hai Bà Trưng, Hà Nội", 16 triệu / tháng
 65 m,"Quận Hai Bà Trưng, Hà Nội", 65 triệu / tháng
 75 m,"Quận Hai Bà Trưng, Hà Nội", 23 triệu / tháng
 25 m,"Quận Hai Bà Trưng, Hà Nội", 9 triệu / tháng
 18 m,"Quận Bắc Từ Liêm, Hà Nội", 5 triệu / tháng
 35 m,"Quận Hoàn Kiếm, Hà Nội", 32 triệu / tháng
 35 m,"Quận Hoàn Kiếm, Hà Nội", 30 triệu / tháng
 30 m,"Quận Hoàn Kiếm, Hà Nội", 20 triệu / tháng
 30 m,"Quận Hoàn Kiếm, Hà Nội", 30 triệu / tháng
 50 m,"Quận Hoàn Kiếm, Hà Nội", 60 triệu / tháng
 60 m,"Quận Hoàn Kiếm, Hà Nội", 15 triệu / tháng
 1.100 m,"Quận Hoàn Kiếm, Hà Nội", 345 ngàn / m
 10 m,"Quận Hoàn Kiếm, Hà Nội", 8 triệu / tháng
 530 m,"Quận Hà Đông, Hà Nội", 40 triệu / tháng
 60 m,"Quận Hà Đông, Hà Nội", 10 triệu / tháng
 95 m,"Quận Hà Đông, Hà Nội", 40 triệu / tháng
 12 m,"Quận Hà Đông, Hà Nội", 7 triệu / tháng
 90 m,"Quận Hà Đông, Hà Nội", 220 ngàn / m
 10.000 m,"Quận Long Biên, Hà Nội", 45 ngàn / m
 80 m,"Quận Hai Bà Trưng, Hà Nội", 32 triệu / tháng
 40 m,"Quận Hai Bà Trưng, Hà Nội", 18 triệu / tháng
 885 m,"Quận Hai Bà Trưng, Hà Nội", 30 triệu / tháng
 80 m,"Quận Hai Bà Trưng, Hà Nội", 70 triệu / tháng
 28 m,"Quận Hai Bà Trưng, Hà Nội", 100 ngàn / m
 50 m,"Quận Nam Từ Liêm, Hà Nội"," 7,5 triệu / tháng"
 60 m,"Quận Bắc Từ Liêm, Hà Nội", 20 triệu / tháng
 700 m,"Quận Bắc Từ Liêm, Hà Nội", 150 ngàn / m
 130 m,"Quận Bắc Từ Liêm, Hà Nội", 65 triệu / tháng
 100 m,"Quận Bắc Từ Liêm, Hà Nội", 50 triệu / tháng
 123 m,"Quận Bắc Từ Liêm, Hà Nội", 13 triệu / tháng
 280 m,"Quận Bắc Từ Liêm, Hà Nội", 39 triệu / tháng
 400 m,"Quận Tây Hồ, Hà Nội", 35 triệu / tháng
 40 m,"Quận Hoàn Kiếm, Hà Nội", 45 triệu / tháng
 1.100 m,"Quận Hoàn Kiếm, Hà Nội", 270 ngàn / m
 35 m,"Quận Hoàn Kiếm, Hà Nội", 20 triệu / tháng
 100 m,"Quận Long Biên, Hà Nội", 260 ngàn / m
 1.400 m,"Quận Long Biên, Hà Nội", 45 ngàn / m
 90 m,"Quận Long Biên, Hà Nội", 18 triệu / tháng
 100 m,"Quận Thanh Xuân, Hà Nội", 20 triệu / tháng
 48 m,"Quận Nam Từ Liêm, Hà Nội", 15 triệu / tháng
 81 m,"Quận Nam Từ Liêm, Hà Nội", 25 triệu / tháng
 70 m,"Quận Nam Từ Liêm, Hà Nội", 15 triệu / tháng
 30 m,"Quận Nam Từ Liêm, Hà Nội", 3 triệu / tháng
 200 m,"Quận Nam Từ Liêm, Hà Nội", 100 triệu / tháng
 90 m,"Quận Nam Từ Liêm, Hà Nội", 17 triệu / tháng
 700 m,"Quận Nam Từ Liêm, Hà Nội", 185 ngàn / m
 700 m,"Quận Bắc Từ Liêm, Hà Nội"," 59,5 triệu / tháng"
 80 m,"Quận Bắc Từ Liêm, Hà Nội", 35 triệu / tháng
 140 m,"Quận Tây Hồ, Hà Nội", 18 triệu / tháng
 130 m,"Quận Tây Hồ, Hà Nội", 65 triệu / tháng
 175 m,"Quận Thanh Xuân, Hà Nội", 85 triệu / tháng
 60 m,"Quận Thanh Xuân, Hà Nội"," 48,5 triệu / tháng"
 120 m,"Quận Thanh Xuân, Hà Nội", 900 ngàn / m
 100 m,"Quận Thanh Xuân, Hà Nội", 300 ngàn / m
 220 m,"Quận Nam Từ Liêm, Hà Nội", 468 ngàn / m
 90 m,"Quận Nam Từ Liêm, Hà Nội", 45 triệu / tháng
 93 m,"Quận Nam Từ Liêm, Hà Nội", 22 triệu / tháng
 60 m,"Quận Nam Từ Liêm, Hà Nội", 12 triệu / tháng
 70 m,"Quận Nam Từ Liêm, Hà Nội", 15 triệu / tháng
 97 m,"Quận Nam Từ Liêm, Hà Nội", 16 triệu / tháng
 60 m,"Quận Thanh Xuân, Hà Nội", 20 triệu / tháng
 80 m,"Quận Thanh Xuân, Hà Nội", 10 triệu / tháng
