Name, Address
Trường THPT Lam Hồng,Khối 5 - Xã Phù Lỗ - Huyện Sóc Sơn
Trường THPT Lạc Long Quân,Tổ 1 Thị trấn Sóc Sơn
Trường THPT Đặng Thai Mai,"Thôn 4 Xã Hồng Kỳ, Sóc Sơn"
Trường THPT Liên Hà,"Xã Liên Hà, huyện Đông Anh, Thành phố Hà Nội"
Trường THPT Đông Anh,Tổ 8 – Thị Trấn Đông Anh – Đông Anh – Hà Nội
Trường THPT Cổ Loa,"Đông Hội, Đông Anh, Hà Nội"
Trường THPT Vân Nội,"Thôn Ba chữ – Xã Vân Nội, Huyện Đông Anh, Hà Nội"
Trường THPT Bắc Thăng Long,"Thôn Bầu, Kim Chung, Đông Anh, Hà Nội"
Trường THPT Cao Bá Quát – Gia Lâm,"Số 57 đường Cổ Bi, huyện Gia Lâm, Thành phố Hà Nội"
Trường THPT Nguyễn Văn Cừ,Thuận Tốn – Đa Tốn – Gia Lâm – Hà Nội
Trường THPT Dương Xá,"Xã Dương Xá, Huyện Gia Lâm, Hà Nội"
Trường THPT Yên Viên,"Số 18 Hà Huy Tập Thị trấn Yên Viên, Gia Lâm, Hà Nội"
Trường THPT Bắc Đuống,"Số 133 Đặng Phúc Thông, Yên Thường, Gia Lâm, Hà Nội"
Trường THPT Lê Ngọc Hân,"Số 36/670 đường Hà Huy Tập, Đình Xuyên, Xã Yên Viên, Huyện Gia Lâm, Thành phố Hà Nội"
Trường THPT Lý Thánh Tông,"thôn Dương Đanh, xã Dương Xá, Huyện Gia Lâm, Hà Nội"
Trường THPT Tô Hiệu Gia Lâm,"Số 163 đường Ỷ Lan, xã Phú Thị, huyện Gia Lâm, Hà Nội"
Trường THPT Trung Văn,"Tố Hữu, Trung Văn, Từ Liêm, Hà Nội"
Trường THPT Đại Mỗ,P. Đại Mỗ – Q. Nam Từ Liêm – Tp.Hà Nội.
Trường THPT Xuân Phương,"Phường Xuân Phương, quận Nam Từ Liêm, TP. Hà Nội"
Trường THPT Mỹ Đình,Phường Mỹ Đình 1 – Quận Nam Từ Liêm – Hà Nội
THPT quốc tế Việt Úc,"Lưu Hữu Phước, Khu đô thị Mỹ Đình I, Nam Từ Liêm, Hà Nội"
THPT Lomonoxop,"Trần Văn Cẩn, Phường Mỹ Đình 2, Trần Văn Cẩn, Mỹ Đình, Từ Liêm, Hà Nội"
THPT Lê Quý Đôn,"Lô 1AII Đường Hàm Nghi, Khu Đô Thị Mỹ Đình I, Nam Từ Liêm, Hà Nội"
THPT Trí Đức,"Tổ dân phố số 5, Phú Mỹ, P, Nam Từ Liêm, Hà Nội"
Trường THPT Ngọc Hồi,"Đường Lưu Phái, Xã Ngũ Hiệp, Huyện Thanh Trì, Hà Nội"
Trường THPT Đông Mỹ,"Xã Đông Mỹ, huyện Thanh Trì, thành phố Hà Nội"
Trường THPT Ngô Thì Nhậm,"Đường Tả Thanh Oai, Tả Thanh Oai, Thanh Trì, Hà Nội"
