category,location,name,open_time,point,price
Gọi món Tây Bắc,"Số 21 Phùng Hưng (ngắn), P. Hàng Mã, Q. Hoàn Kiếm",Quả Trám - Phùng Hưng  ,10h00 - 14h30 & 17h00 - 22h00,3.8,200.000 – 300.000 đ/người
Buffet lẩu Châu Á,"Tầng 3, Lotte Department Store, Số 54 Liễu Giai, P. Cống Vị, Q. Ba Đình ",Hotpot Story – Lotte Center,11h00 – 14h00 và 17h30 -  21h00,3.7,250.000 - 350.000 vnđ/người
Buffet nướng lẩu Nhật Bản,"Lotte Department Store, Tầng 3, Số 54 Liễu Giai, P. Cống Vị, Q. Ba Đình",Tasaki BBQ - Lotte Center,10h00 - 22h00,3.8,250.000 - 350.000 đ/người
Buffet; Gọi món Nhật Bản,"Số 152 Ngọc Khánh, P. Giảng Võ, Q. Ba Đình",G8 Osake House - 152 Ngọc Khánh  ,10h00 – 14h00 & 17h00 – 22h00,3.6,200.000 – 300.000 đ/người
Chuyên Cá Lăng và Bò nhúng dấm,"Nhà D8-9, khu nhà phố Dream Land, 107 Xuân La, P. Xuân Tảo, Q. Bắc Từ Liêm",Cá lăng ngự viên – Bò nhúng dấm F5 Farm – Xuân La,10h00 - 14h00 & 17h00 - 22h00,3.8,180.000 – 250.000 đ/người
Buffet lẩu & Dimsum,"Lô CX14 - KĐT Linh Đàm, P. Hoàng Liệt, Q. Hoàng Mai (Cạnh bể bơi Linh Đàm) ",Dimsum & Lẩu Trung Hoa – FengHuang – Linh Đàm,11h00 – 14h00 & 18h00 – 21h30,3.5,209.000 - 269.000 đ/người
Gọi món Việt,"Số 126 ngõ 553 Giải Phóng, P. Giáp Bát, Q. Hoàng Mai",Hải Nguyên Quán - Ngõ 553 Giải Phóng,09h00 – 22h00,3.3,150.000 – 200.000 đ/người
Gọi món Nhật Bản,"L3-RS1 Ciputra Hà Nội, P. Xuân Đỉnh, Q. Bắc Từ Liêm",Tomita Bento – Ciputra Hà Nội,10h30 – 13h30 & 17h30 – 21h30,4,150.000 – 250.000 đ/người
Gọi món nướng lẩu Hàn Quốc,"Tầng 5, TTTM Vincom, 191 Bà Triệu, P. Lê Đại Hành, Q. Hai Bà Trưng",King BBQ Deli – Vincom Bà Triệu ,10h00 - 22h00,4,200.000 - 400.000 đ/người
Buffet Nướng Lẩu Hàn Quốc,"Tầng 4, TTTM Savico Mega Mall Long Biên, 7-9 đường Nguyễn Văn Linh, Q. Long Biên",Buk Buk – Savico Mega Mall,10h00 - 22h00,3.6,150.000 - 250.000 đ/người
Chuyên món chả cá,"Số 339 -341 Trần Khát Chân, P. Thanh Nhàn, Q. Hai Bà Trưng",Chả Cá Gia Nguyễn - Trần Khát Chân,09h00 - 14h00 và 17h00 - 22h00,3.8,150.000 - 200.000 đ/người
Gọi món Việt (Chuyên hải sản),"Số 12 Phạm Huy Thông, Q. Ba Đình",Sơn Thủy Restaurant - Phạm Huy Thông,10h30 – 13h30 và 17h30 – 21h30,3.8,250.000 – 500.000 đ/người
Gọi món Việt,"Khu liên hiệp thể thao cây xanh (đối diện sân tập gold), P. Kiến Hưng, Q. Hà Đông",Tre Viên Quán - Hà Đông,10h00 – 22h00,3.5,150.000  – 200.000 đ/người
Gọi món Việt (Cơm Tấm),"Số 70 Phố Dịch Vọng Hậu, P. Dịch Vọng Hậu, Q. Cầu Giấy ",Cơm Tấm Tường Hân – Dịch Vọng Hậu,10h00 - 13h30 & 17h00 - 20h00,3.8,60.000 - 90.000 đ/người
Gọi món Âu,"Số 33 Tô Ngọc Vân, Q. Tây Hồ",Daluva Restaurant Bar – Tô Ngọc Vân,10h30 – 23h00,3.5,150.000 – 250.000 đ/người
"Gọi món Singapore, Buffet nướng lẩu","Số 76 Yên Phụ nhỏ, Khách sạn The Hanoi Club, Q. Tây Hồ",Tivoli - The Hanoi Club Hotel,Alacarte: 11h00 – 22h00; Buffet T7: 18h00 – 21h30,3.8,150.000 – 350.000 đ/người
Gọi món Ý,"Số 2 Chương Dương Độ, Thiên Sơn Plaza, Tầng 1, Q. Hoàn Kiếm",Mamma Mia - Italian Restaurant,11h00 – 14h00 và 18h00 – 22h00,3.8,280.000 – 350.000 đ/người
Gọi món Trung Hoa,"Số 2A Láng Hạ, Q. Ba Đình",Meiwei – Láng Hạ,10h00 - 22h00,3.9,150.000 - 250.000 đ/người
Gọi món Nhật Bản,"Số 67 Hoàng Cầu, P. Ô Chợ Dừa, Q. Đống Đa",Sio Sushi - Hoàng Cầu,10h30 – 14h00 & 17h30 – 22h00,4,150.000 – 200.000 đ/người
Buffet nướng lẩu Hàn Quốc,"Số 229 Tô Hiệu, P. Dịch Vọng, Q. Cầu Giấy",Wang Wang – Tô Hiệu,11h00 – 13h30 & 17h30 – 21h30,3.5,115.000 – 190.000đ/người
Gọi món Nhật Bản,"Số 13 Lê Đại Hành, P.Lê Đại Hành, Q. Hai Bà Trưng",Sio Sushi - Lê Đại Hành ,10h30 – 14h00 & 17h30 – 22h00,4,150.000 – 200.000 đ/người
Gọi món Nhật Bản,"Số 20 Đào Tấn, P. Cống Vị, Q. Ba Đình",Taki Taki - Đào Tấn,"10h00 -14h00, 17h00 – 22h00",3.8,300.000  – 500.000 đ/người
Gọi món Việt,"Tầng 2 & 3, Số 27 Lê Văn Lương, Tòa nhà Hanoi Center Point,Q. Thanh Xuân",Đại Lâm Mộc - Lê Văn Lương,"10h30 -14h00, 17h30 – 22h00",3.9,300.000 – 500.000 đ/người
Buffet Lẩu Châu Á,"Gian TN55, Hầm B1, TTTM Vincom Mega Times City, Số 458 Minh Khai, Q. Hai Bà Trưng",Hotpot Story – Times City,10h00 - 13h00 & 18h00 – 21h00,3.7,250.000 - 350.000 vnđ/người
Gọi món Huế,"Vincom Sky Lake Phạm Hùng,Tầng 3, L3 – 12,  P. Mỹ Đình, Q. Nam Từ Liêm",Nét Huế - Vincom Sky Lake Phạm Hùng,09h30 – 21h00,3.8,50.000 - 150.000 đ/người
Beer - Club,"Số 32 Lò Sũ, Tầng 13-14-15, P. Lý Thái Tổ, Q. Hoàn Kiếm, Hà Nội",Diamond Sky Bar - Lò Sũ,11h30 – 24h00,4.5,400.000 – 600.000 đ/người
Chuyên lẩu nấm,"Số 17 Huỳnh Thúc Kháng, P. Láng Hạ, Q. Đống Đa",Lẩu Nấm Ashima - Huỳnh Thúc Kháng ,10h30 - 14h00 & 17h00 - 21h00,3.9,350.000 - 400.000 đ/người
Gọi món Việt,"Số 159 Hoàng Ngân, P. Trung Hòa, Q. Cầu Giấy",Cầm Viên Quán – Hoàng Ngân,10h30 - 13h30 và 17h30 - 21h30,3.5,250.000 – 350.000 đ/người
Chuyên lẩu Nấm,"60 Giang Văn Minh, Q. Ba Đình",Lẩu Nấm Ashima - Giang Văn Minh,11h00 – 22h00,3.9,350.000 - 400.000 đ/người
Chuyên lẩu nấm,"Tòa nhà N04, Tầng 2, đường Hoàng Đạo Thúy, P. Trung Hòa, Q. Cầu Giấy",Lẩu Nấm Ashima - Hoàng Đạo Thúy ,10h30 - 14h00 & 17h00 - 21h00,3.9,350.000 - 400.000 đ/người
Gọi món Mỹ,"Số 56 Trần Quốc Toản, P. Trần Hưng Đạo, Q. Hoàn Kiếm",RICO Steakhouse - Trần Quốc Toản,10h00 - 14h00 & 17h00 - 22h00,4,500.000 – 1.000.000 đ/người
Gọi món lẩu hơi,"B2 – 05A Vinhomes Gardenia Hàm Nghi ,  Mỹ Đình , Q. Nam Từ Liêm",Lẩu Hấp Fresh - Vinhomes Gardenia Hàm Nghi,"10h30 - 14h00, 17h00 - 22h00",3.7,200.000 – 300.000 đ/người
Chuyên món Chim,"BT50 - TT4, Đường Số 1, Khu ĐTM thành phố Giao Lưu, 232 Phạm Văn Đồng, P. Cổ Nhuế 1, Q. Bắc Từ Liêm",Chim To Dần - Hà Nam Quán - Phạm Văn Đồng,09h00 - 22h00,3.5,120.000 - 200.000 đ/người
Gọi món Việt,"Số 24 Mạc Thái Tông, P. Trung Hòa, Q. Cầu Giấy",Quán Nhà Ta - Mạc Thái Tông,11h00 - 14h00 & 17h00 - 21h00,3.5,150.000 – 250.000 đ/người
Buffet lẩu băng chuyền,"Tầng G, Dophin Plaza, số 6 Nguyễn Hoàng, P. Mỹ Đình 2, Q. Cầu Giấy",Lẩu Băng Chuyền Kichi-Kichi - Dolphin Plaza,11h00 - 14h00 & 17h00 - 21h30,3.9,230.000 - 280.000 đ/người
Buffet Lẩu Châu Á,"Royal City, tầng B2, Lô B2-R6-39, số 72A Nguyễn Trãi, P. Thượng Đình, Q. Thanh Xuân ",Hotpot Story - Royal City  ,11h00 - 14h00 & 18h00 - 21h00,3.7,250.000 - 350.000 vnđ/người
Gọi món Thái Lan,"Tầng 3, Lotte Center , 54 Liễu Giai, P. Cống Vị, Q. Ba Đình",ThaiExpress – Lotte Center     ,10h30 – 21h30,3.9,250.000 - 350.000 vnđ/người
Buffet lẩu băng chuyền,"Số 105 Trần Thái Tông, P. Dịch Vọng Hậu, Q. Cầu Giấy",Lẩu Băng Chuyền Kichi-Kichi - Trần Thái Tông,17h00 - 21h30,3.9,230.000 - 280.000 đ/người
Gọi món Huế,"Số 57 Lạc Trung, P. Vĩnh Tuy, Q. Hai Bà Trưng",Nét Huế - Lạc Trung ,07h00 - 22h00,3.5,50.000 - 150.000 đ/người
Gọi món Thái Lan,"Tầng 5, Vincom Center , 191 Bà Triệu, P. Lê Đại Hành, Q. Hai Bà Trưng",ThaiExpress - Vincom Bà Triệu      ,10h30 – 21h30,3.9,250.000 - 350.000 vnđ/người
Buffet nướng lẩu Hàn Quốc,"18BT5 Nguyễn Khuyến – Văn Quán, Q. Hà Đông (cạnh Highland Coffee Nguyễn Khuyến)",GOPchain – Quán thịt nướng & lẩu Hàn Quốc – Nguyễn Khuyến,10h30 – 14h00 & 17h00 – 23h00,3.7,120.000 - 260.000 vnđ/người
Gọi món Việt (Đặc sản xứ Thanh),"Số 91 Trần Quốc Vượng, P. Dịch Vọng Hậu, Q. Cầu Giấy ",Hương Vị Xứ Thanh - Trần Quốc Vượng,08h00 - 14h00 & 16h30 - 21h00,3.6,80.000 - 150.000 đ/người
Gọi món Việt,"Số 38 Trần Kim Xuyến, P. Yên Hòa, Q. Cầu Giấy",Cá 38 - Vua Cá Sông - Trần Kim Xuyến,"10h00 – 14h00, 17h00 – 22h00 ",3.8,150.000 – 250.000 đ/người
