Name,Address
BỆNH VIỆN QUÂN Y 103,"261 Phùng Hưng, phường Phúc La, Hà Đông, Hà Nội"
BỆNH VIỆN 19 – 8 BỘ CÔNG AN VIỆT NAM,"9 Trần Bình, Mai Dịch, Cầu Giấy, Hà Nội"
BỆNH VIỆN TRUNG ƯƠNG QUÂN ĐỘI 108,"Số 1 Trần Hưng Đạo, Bạch Đằng, Hai Bà Trưng, Hà Nội  "
BỆNH VIỆN XÂY DỰNG,"Nguyễn Quý Đức, Thanh Xuân Bắc, Hà Nội"
Bệnh Viện Nam Thăng Long," 38 Tân Xuân, Xuân Đỉnh, Bắc Từ Liêm, Hà Nội"
Bệnh Viện Tâm Thần Mỹ Đức,"TL80, Phúc Lâm, Mỹ Đức, Hà Nội"
Bệnh Viện Thận Hà Nội,"70 Nguyễn Chí Thanh, Láng Thượng, Đống Đa, Hà Nội"
Bệnh Viện Tuệ Tĩnh,"2 Trần Phú, phường Mộ Lao, Hà Đông, phường Mộ Lao Hà Đông Hà Nội"
Bệnh Viện Y Học Cổ Truyền Hà Đông,"99 Nguyễn Viết Xuân, phường Quang Trung, Hà Đông, Hà Nội, Việt Nam"
Bệnh Viện Đa Khoa Quận Hà Đông," 2 Bế Văn Đàn, phường Quang Trung, Hà Đông, phường Quang Trung Hà Đông Hà Nội"
Bệnh Viện Đa Khoa Sóc Sơn," Số 18 Đường Bệnh Viện, Tiên Dược, Sóc Sơn, Hà Nội"
Bệnh Viện Đa Khoa Sơn Tây," 304A, đường Lê Lợi, phường Lê Lợi, Sơn Tây, Hà Nội"
Bệnh Viện Đa Khoa Đông Anh,"Cao Lỗ, Uy Nỗ, Đông Anh, Hà Nội"
Bệnh Viện Đa Khoa Đức Giang,"54 Trường Lâm, Đức Giang, Long Biên, Hà Nội"
Bệnh Viện Đa Khoa Hòe Nhai 2,"53 Tân Ấp, Phúc xá, Ba Đình, Hà Nội, Việt Nam"
Bệnh Viện đa khoa Huyện Ba Vì,"Xã Đồng Thái, huyện Ba Vì, thành phố Hà Nội"
Bệnh Viện Đa Khoa Chương Mỹ," 120 ĐT419, Ngọc Hoà , Chương Mỹ, Hà Nội"
Bệnh Viện Đa Khoa Huyện Đan Phượng,Thị Trấn Phùng – Đan Phượng – Hà nội
Bệnh viện Đa khoa Huyện Hoài Đức,"Thôn Lũng Kênh, Đức Giang, Hoài Đức, Hà Nội"
BỆNH VIỆN ĐA KHOA MÊ LINH,"Thôn 1, xã Thạch Đà, huyện Mê Linh,  Hà Nội"
Bệnh Viện Đa khoa Huyện Mỹ Đức,"Tổ dân phố Thọ Sơn, thị trấn Đại Nghĩa, huyện Mỹ Đức, thành phố Hà Nội"
Bệnh Viện Đa khoa Huyện Phúc Thọ,"Phúc Hoà, Phúc Thọ, Hà Nội"
Bệnh Viện Đa Khoa Huyện Quốc Oai,"thị trấn Quốc Oai, Quốc Oai, Hà Nội"
Bệnh Viện Đa Khoa Huyện Thạch Thất,"Số 79, đường 420, xã Kim Quan, huyện Thạch Thất, Hà Nội"
Bệnh Viện Đa Khoa Huyện Thanh Oai," thị trấn Kim Bài, Thanh Oai, Hà Nội"
Bệnh Viện Đa Khoa Huyện Thường Tín,"115 Trần Phú, thị trấn Thường Tín, Thường Tín, Hà Nội, Việt Nam"
Bệnh Viện Da Liễu Hà Đông,"20 Bế Văn Đàn, phường Quang Trung, Hà Đông, Hà Nội, Việt Nam"
Bệnh Viện Tâm Thần Ba Thá,"Ba Thá Viên An Huyện Ứng Hoà, Viên An, Ứng Hòa, Hà Nội"
Bệnh Viện Da Liễu Hà Nội - CSI,"79B Phố Nguyễn Khuyến, Văn Miếu, Đống Đa, Hà Nội , Việt Nam"
Bệnh Viện Da Liễu Hà Nội - CSII,Số 20 Bế Văn Đàn – Hà Đông – Hà Nội
Bệnh Viện Da Liễu Hà Nội - CSIII, Khoa Điều trị Nội trú Quốc Oai – Quốc Oai – Hà Nội
Bệnh Viện Mắt Hà Đông,"2D Nguyễn Viết Xuân, phường Quang Trung, quận Hà Đông, Tp Hà Nội"
Bệnh Viện Mắt Hà Nội 2,"72 Nguyễn Chí Thanh, Phường Láng Thượng, Đống Đa, Hà Nội"
Bệnh viện Mắt kỹ thuật cao Hà Nội,"51-53-55 Trần Nhân Tông, Bùi Thị Xuân, Hà Nội"
Bệnh viện Mắt Quốc Tế DND,"128 Bùi Thị Xuân, Hai Bà Trưng, Hà Nội"
Bệnh viện Mắt Việt Nhật,"122 Triệu Việt Vương, Bùi Thị Xuân, Hai Bà Trưng, Hà Nội, Việt Nam"
Bệnh Viện Mắt Quốc Tế Việt – Nga,"Nhà C2, Làng Quốc Tế Thăng Long, Dịch Vọng, quận Cầu Giấy, Hà Nội"
Bệnh Viện Mắt Ánh Sáng,"2 Trần Cung, Cổ Nhuế, Từ Liêm, Hà Nội"
Bệnh viện mắt quốc tế Nhật Bản,"32 Phó Đức Chính, Trúc Bạch, Ba Đình, Hà Nội, Việt Nam"
Bệnh Viện Đa Khoa Quốc Tế Thu Cúc,"286 Thụy Khuê, Bưởi, Tây Hồ, Hà Nội, Việt Nam"
Bệnh viện Đa khoa Quốc tế Vinmec Times City,"458 Phố Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội, Việt Nam"
Bệnh viện Đa khoa Hồng Ngọc,"Số 55 Yên Ninh,Trúc Bạch, Ba Đình, Hà Nội"
Bệnh Viện Thẩm Mỹ Kangnam Hàn Quốc,"190 Trường Chinh, Khương Thượng, Đống Đa, Hà Nội"
BỆNH VIỆN ĐA KHOA TRÍ ĐỨC,"219 Đường Lê Duẩn, Nguyễn Du, Hai Bà Trưng, Hà Nội"
BỆNH VIỆN VIỆT PHÁP HÀ NỘI,"1 Phương Mai, Đống Đa, Hà Nội"
BỆNH VIỆN BƯU ĐIỆN HÀ NỘI - CSI,"1 Yên Bái II, Phố Huế, Hai Bà Trưng, Hà Nội "
BỆNH VIỆN BƯU ĐIỆN HÀ NỘI - CSII,"Số 49 phố Trần Điền, phường Định Công, quận Hoàng Mai, thành phố Hà Nội"
BỆNH VIỆN PHỤ SẢN AN THỊNH,"496 Bạch Mai – Hai Bà Trưng, phường Trương Định thành phố Hà Nội"
BỆNH VIỆN ĐA KHOA MEDLATEC HÀ NỘI,"42 Nghĩa Dũng, Phúc xá, Ba Đình, Hà Nội"
BỆNH VIỆN ĐA KHOA TƯ NHÂN HÀ THÀNH,"61 Vũ Thạnh, Chợ Dừa, Đống Đa, Hà Nội"
Sở Y Tế Hà Nội,"4 Sơn Tây, Điện Bàn, Ba Đình, Hà Nội"
