Name,Address
Tiểu học Phú Lãm,"Tổ 6 phường Phú Lãm, quận Hà Đông, Hà Nội"
Tiểu học Phú Lương I,Tổ 19 Bắc Lãm – Phú Lương – Hà Đông
Tiểu học Phú Lương II,Tổ 6 Phường Phú Lương – Quận Hà Đông – Thành phố Hà Nội
Tiểu học Vạn Phúc,Số 7 – Tổ dân phố Bạch Đằng – phường Vạn Phúc – quận Hà Đông
Tiểu học Văn Khê,Đường Ngô Đình Mẫn – La Khê – Hà Đông – Hà Nội.
Tiểu học Văn Yên,"Nguyễn Công Trứ, Văn Quán, phường Phúc La, Hà Đông"
Tiểu học Yết Kiêu,"Phố Nguyễn Thượng Hiền, Phừơng Yết Kiêu, Hà Đông"
Tiểu học YÊN BÀI B,Xã Yên Bài
Tiểu học YÊN BÀI A,Xã Yên Bài
Tiểu học VẬT LẠI,Xã Vật Lại
Tiểu học VẠN THẮNG,Xã Van Thắng
Tiểu học VÂN HOÀ,Xã Vân Hòa
Tiểu học TTNC BÒ & ĐỒNG CỎ,Xã Tản Lĩnh
Tiểu học TÒNG BẠT,Xã Tòng Bạt
Tiểu học TIÊN PHONG,Xã Tiên Phong
Tiểu học THUỴ AN,Xã Thụy An
Tiểu học THUẦN MỸ,Xã Thuần Mỹ
Tiểu học THÁI HOÀ,Xã Thái Hòa
Tiểu học Tây Đằng B,TT Tây Đằng
Tiểu học TÂY ĐẰNG A,TT Tây Đằng
Tiểu học TẢN LĨNH – BA VÌ,Xã Tản Lĩnh
Tiểu học TẢN HỒNG,Xã Tản Hồng
Tiểu học AN MỸ,An Mỹ – Mỹ Đức
Tiểu học ĐẠI HƯNG,Đại Hưng – Mỹ Đức
Tiểu học ĐỐC TÍN,Đốc Tín – Mỹ Đức
Tiểu học ĐỒNG TÂM,Đồng Tâm – Mỹ Đức
Tiểu học HỢP THANH A,Hợp Thanh – Mỹ Đức
Tiểu học HÙNG TIẾN,Hùng Tiến – Mỹ Đức
Tiểu học HƯƠNG SƠN C,Hương Sơn – Mỹ Đức
Tiểu học PHÙ LƯU TẾ,Phù Lưu Tế- Mỹ Đức
Tiểu học PHÙNG XÁ,Phùng Xá – Mỹ Đức
Tiểu học TẾ TIÊU,Đại Nghĩa – Mỹ Đức
Tiểu học TUY LAI A,Tuy Lai – Mỹ Đức
Tiểu học TUY LẠI B,Tuy Lai – Mỹ Đức
Tiểu học AN PHÚ,An Phú – Mỹ Đức
Tiểu học AN TIẾN,An Tiến – Mỹ Đức
