,area,location,price
103, 10 m,"Quận Hoàn Kiếm, Hà Nội",8000000
104, 530 m,"Quận Hà Đông, Hà Nội",40000000
105, 60 m,"Quận Hà Đông, Hà Nội",10000000
106, 95 m,"Quận Hà Đông, Hà Nội",40000000
107, 12 m,"Quận Hà Đông, Hà Nội",7000000
108, 90 m,"Quận Hà Đông, Hà Nội",19800000
109, 10.000 m,"Quận Long Biên, Hà Nội",450000000
110, 80 m,"Quận Hai Bà Trưng, Hà Nội",32000000
111, 40 m,"Quận Hai Bà Trưng, Hà Nội",18000000
112, 885 m,"Quận Hai Bà Trưng, Hà Nội",30000000
113, 80 m,"Quận Hai Bà Trưng, Hà Nội",70000000
114, 28 m,"Quận Hai Bà Trưng, Hà Nội",2800000
115, 50 m,"Quận Nam Từ Liêm, Hà Nội",7500000
116, 60 m,"Quận Bắc Từ Liêm, Hà Nội",20000000
117, 700 m,"Quận Bắc Từ Liêm, Hà Nội",105000000
118, 130 m,"Quận Bắc Từ Liêm, Hà Nội",65000000
119, 100 m,"Quận Bắc Từ Liêm, Hà Nội",50000000
120, 123 m,"Quận Bắc Từ Liêm, Hà Nội",13000000
121, 280 m,"Quận Bắc Từ Liêm, Hà Nội",39000000
122, 400 m,"Quận Tây Hồ, Hà Nội",35000000
123, 40 m,"Quận Hoàn Kiếm, Hà Nội",45000000
124, 1.100 m,"Quận Hoàn Kiếm, Hà Nội",297000000
125, 35 m,"Quận Hoàn Kiếm, Hà Nội",20000000
126, 100 m,"Quận Long Biên, Hà Nội",26000000
127, 1.400 m,"Quận Long Biên, Hà Nội",63000000
128, 90 m,"Quận Long Biên, Hà Nội",18000000
129, 100 m,"Quận Thanh Xuân, Hà Nội",20000000
130, 48 m,"Quận Nam Từ Liêm, Hà Nội",15000000
131, 81 m,"Quận Nam Từ Liêm, Hà Nội",25000000
132, 70 m,"Quận Nam Từ Liêm, Hà Nội",15000000
133, 30 m,"Quận Nam Từ Liêm, Hà Nội",3000000
134, 200 m,"Quận Nam Từ Liêm, Hà Nội",100000000
135, 90 m,"Quận Nam Từ Liêm, Hà Nội",17000000
136, 700 m,"Quận Nam Từ Liêm, Hà Nội",129500000
137, 700 m,"Quận Bắc Từ Liêm, Hà Nội",59500000
138, 80 m,"Quận Bắc Từ Liêm, Hà Nội",35000000
139, 140 m,"Quận Tây Hồ, Hà Nội",18000000
140, 130 m,"Quận Tây Hồ, Hà Nội",65000000
141, 175 m,"Quận Thanh Xuân, Hà Nội",85000000
142, 60 m,"Quận Thanh Xuân, Hà Nội",48500000
143, 120 m,"Quận Thanh Xuân, Hà Nội",108000000
144, 100 m,"Quận Thanh Xuân, Hà Nội",30000000
145, 220 m,"Quận Nam Từ Liêm, Hà Nội",102960000
146, 90 m,"Quận Nam Từ Liêm, Hà Nội",45000000
147, 93 m,"Quận Nam Từ Liêm, Hà Nội",22000000
148, 60 m,"Quận Nam Từ Liêm, Hà Nội",12000000
149, 70 m,"Quận Nam Từ Liêm, Hà Nội",15000000
150, 97 m,"Quận Nam Từ Liêm, Hà Nội",16000000
151, 60 m,"Quận Thanh Xuân, Hà Nội",20000000
152, 80 m,"Quận Thanh Xuân, Hà Nội",10000000
153, 70 m,"Quận Thanh Xuân, Hà Nội",16000000
154, 420 m,"Quận Thanh Xuân, Hà Nội",189000000
155, 60 m,"Quận Thanh Xuân, Hà Nội",40000000
156, 60 m,"Quận Thanh Xuân, Hà Nội",20000000
157, 130 m,"Quận Nam Từ Liêm, Hà Nội",20000000
158, 1.135 m,"Quận Nam Từ Liêm, Hà Nội",181600000
159, 90 m,"Quận Nam Từ Liêm, Hà Nội",19500000
160, 1.160 m,"Quận Nam Từ Liêm, Hà Nội",26680000
161, 70 m,"Quận Nam Từ Liêm, Hà Nội",42000000
162, 67 m,"Quận Nam Từ Liêm, Hà Nội",25000000
163, 60 m,"Quận Thanh Xuân, Hà Nội",40000000
164, 25 m,"Quận Thanh Xuân, Hà Nội",4500000
165, 100 m,"Quận Thanh Xuân, Hà Nội",57000000
166, 12 m,"Quận Thanh Xuân, Hà Nội",5000000
0, 100 m,"Quận Cầu Giấy, Hà Nội",11000000
1, KXĐ,"Quận Cầu Giấy, Hà Nội",48400000
2, 252 m,"Quận Cầu Giấy, Hà Nội",100000000
3, 180 m,"Quận Cầu Giấy, Hà Nội",350000000
4, 50 m,"Quận Cầu Giấy, Hà Nội",50000000
5, 100 m,"Quận Cầu Giấy, Hà Nội",15000000
6, 01 m,"Quận Hà Đông, Hà Nội",48400000
7, 530 m,"Quận Hà Đông, Hà Nội",40000000
8, 01 m,"Quận Hà Đông, Hà Nội",48400000
9, 1.000 m,"Quận Hà Đông, Hà Nội",48400000
10, 1.000 m,"Quận Hà Đông, Hà Nội",48400000
11, 45 m,"Quận Hà Đông, Hà Nội",48400000
12, 01 m,"Quận Hà Đông, Hà Nội",48400000
13, 01 m,"Quận Hà Đông, Hà Nội",48400000
14, KXĐ,"Quận Đống Đa, Hà Nội",48400000
15, 01 m,"Quận Hà Đông, Hà Nội",48400000
16, 1.000 m,"Quận Hà Đông, Hà Nội",48400000
